Record Date,smart,Stored Value Card,pass1,pass3,pass5,tokens,ncmc,group,qr,QR NammaMetro,QR WhatsApp,QR Paytm,Total_Flow,Total_Revenue,day_of_week,is_weekend,month,year,flow_lag1,flow_lag7,revenue_lag1,revenue_lag7,flow_roll7,flow_roll14,revenue_roll7,revenue_roll14
2025-01-25,305829,302921,1762,639,507,259179,10549,775,261829,67670,146837,47322,841069,24630583.0,Saturday,True,1,2025,904360.0,793733.0,26071321.0,22909936.0,827619.7142857143,781999.4285714285,23787901.714285713,22436503.785714287
2025-01-26,178237,175890,1390,456,501,277498,6386,772,239003,61570,134347,43086,704243,20860969.0,Sunday,True,1,2025,841069.0,534881.0,24630583.0,15519623.0,851814.2857142857,789336.0714285715,24550951.14285714,22666170.42857143
2025-01-27,465566,463801,775,453,537,215569,16161,681,211545,59138,114153,38254,911287,26194912.0,Monday,False,1,2025,704243.0,880205.0,20860969.0,25124031.0,856254.5714285715,800411.0,24703934.14285714,22970573.714285713
2025-01-28,473889,472405,698,362,424,199984,16643,646,199949,54935,107790,37224,892595,25560123.0,Tuesday,False,1,2025,911287.0,870047.0,26194912.0,24766672.0,859475.7142857143,829508.4285714285,24817284.285714287,23781935.14285714
2025-01-29,468183,467114,508,236,325,191069,16591,456,193088,52560,104565,35963,870456,24857321.0,Wednesday,False,1,2025,892595.0,881034.0,25560123.0,25140524.0,857964.5714285715,832675.0,24776826.714285713,23899139.5
2025-01-30,455707,455021,350,107,229,191047,16105,800,185863,54138,95216,36509,850208,24233139.0,Thursday,False,1,2025,870456.0,881742.0,24857321.0,25262558.0,853459.7142857143,832538.0714285715,24629766.85714286,23933753.42857143
2025-01-31,429639,428712,553,134,240,200321,15065,265,206739,57305,111795,37639,852956,24409463.0,Friday,False,1,2025,850208.0,904360.0,24233139.0,26071321.0,846116.2857142857,833486.8571428572,24392358.57142857,23967226.785714287
2025-02-13,406654,405914,274,94,372,179196,17176,62,148163,40588,78334,29241,751991,21467148.0,Thursday,False,2,2025,852956.0,841069.0,24409463.0,24630583.0,833390.8571428572,830505.2857142857,23940439.285714287,23864170.5
2025-02-14,381182,380410,293,66,413,187060,16023,130,178855,48653,95356,34846,764022,21911564.0,Friday,False,2,2025,751991.0,704243.0,21467148.0,20860969.0,841930.7142857143,846872.5,24090524.285714287,24320737.714285713
2025-02-15,274277,273676,416,61,124,214805,11052,487,190218,50305,105001,34912,691440,19980859.0,Saturday,True,2,2025,764022.0,911287.0,21911564.0,26194912.0,810524.0,833389.2857142857,23202802.42857143,23953368.285714287
2025-02-17,410935,410315,182,29,409,185485,17494,369,165679,46959,87843,30877,780582,22307295.0,Monday,False,2,2025,691440.0,892595.0,19980859.0,25560123.0,794522.1428571428,826998.9285714285,22738112.714285713,23777698.5
2025-02-18,420869,420146,237,15,471,173720,18587,255,154323,42699,82043,29581,768477,21930903.0,Tuesday,False,2,2025,780582.0,870456.0,22307295.0,24857321.0,779953.7142857143,818959.1428571428,22320053.0,23548439.85714286
2025-02-19,423244,422496,251,31,466,173529,19035,264,153112,42530,81328,29254,769932,21969358.0,Wednesday,False,2,2025,768477.0,850208.0,21930903.0,24233139.0,768485.7142857143,810972.7142857143,21996655.714285713,23313211.285714287
2025-02-20,410223,409549,166,32,476,177235,18498,422,149822,41185,79188,29449,756874,21616151.0,Thursday,False,2,2025,769932.0,852956.0,21969358.0,24409463.0,754759.7142857143,800438.0,21597611.14285714,22994984.85714286
2025-02-21,399905,399144,199,58,504,191533,17821,423,180270,49952,95757,34561,790713,22675575.0,Friday,False,2,2025,756874.0,751991.0,21616151.0,21467148.0,760291.4285714285,796841.1428571428,21770243.57142857,22855341.42857143
2025-02-22,246807,246066,522,85,134,224326,11027,706,192617,50944,105215,36458,676224,19617809.0,Saturday,True,2,2025,790713.0,764022.0,22675575.0,21911564.0,747748.8571428572,794839.7857142857,21442564.285714287,22766544.285714287
2025-02-24,419033,418410,230,57,336,190998,18984,433,173063,48770,91889,32404,803134,22946531.0,Monday,False,2,2025,676224.0,691440.0,19617809.0,19980859.0,763705.1428571428,787114.5714285715,21866231.714285713,22534517.07142857
2025-02-25,418523,418095,107,14,307,177694,19454,622,166474,47075,87248,32151,783195,22329831.0,Tuesday,False,2,2025,803134.0,780582.0,22946531.0,22307295.0,764078.4285714285,779300.2857142857,21869451.14285714,22303781.92857143
2025-02-26,216490,216010,222,16,242,160400,10486,388,132520,37795,69769,24956,520764,15050390.0,Wednesday,False,2,2025,783195.0,768477.0,22329831.0,21930903.0,728690.8571428572,754322.2857142857,20886520.714285713,21603286.85714286
2025-02-27,401617,401092,149,54,322,178083,18079,1625,165030,46014,87919,31097,764959,21845999.0,Thursday,False,2,2025,520764.0,769932.0,15050390.0,21969358.0,727980.4285714285,748233.0714285715,20868898.0,21432776.85714286
2025-02-28,387796,387187,237,48,324,180287,17888,282,175729,48817,93919,32993,762591,21819462.0,Friday,False,2,2025,764959.0,756874.0,21845999.0,21616151.0,728797.1428571428,741778.4285714285,20897942.42857143,21247776.785714287
2025-03-14,345797,345045,185,12,555,176068,18470,228,159319,44401,85900,29018,700634,20140919.0,Friday,False,3,2025,762591.0,790713.0,21819462.0,22675575.0,715928.7142857143,738110.0714285715,20535848.714285713,21153046.14285714
2025-03-15,402055,401484,428,30,113,100903,5921,115,193768,50686,107233,35849,703333,19946555.0,Saturday,True,3,2025,700634.0,676224.0,20140919.0,19617809.0,719801.4285714285,733775.1428571428,20582812.42857143,21012688.35714286
2025-03-18,444790,444004,217,8,561,176154,23611,447,153903,43047,81953,28903,799691,22817870.0,Tuesday,False,3,2025,703333.0,803134.0,19946555.0,22946531.0,719309.5714285715,741507.3571428572,20564432.285714287,21215332.0
2025-03-19,443772,442956,235,15,566,179666,22738,451,155324,43185,82674,29465,802767,22916464.0,Wednesday,False,3,2025,799691.0,783195.0,22817870.0,22329831.0,722105.5714285715,743092.0,20648237.0,21258844.07142857
2025-03-20,437064,436346,162,17,539,182280,22381,611,155286,43853,82033,29400,798340,22793908.0,Thursday,False,3,2025,802767.0,520764.0,22916464.0,15050390.0,761759.2857142857,745225.0714285715,21754453.85714286,21320487.285714287
2025-03-21,417546,416788,150,51,557,196933,20047,268,176788,48884,95291,32613,812340,23282622.0,Friday,False,3,2025,798340.0,764959.0,22793908.0,21845999.0,768528.0,748254.2142857143,21959685.714285713,21414291.85714286
2025-03-22,194576,194189,202,49,136,167027,9513,517,126861,34690,69332,22839,498881,14435832.0,Saturday,True,3,2025,812340.0,762591.0,23282622.0,21819462.0,730855.1428571428,729826.1428571428,20904881.42857143,20901411.92857143
2025-03-23,153272,152653,460,49,110,235555,7378,81,191076,52235,105379,33462,587981,17236044.0,Sunday,True,3,2025,498881.0,700634.0,14435832.0,20140919.0,714761.8571428572,715345.2857142857,20489899.285714287,20512874.0
2025-03-24,437365,436622,144,28,571,203814,20474,166,169264,47430,90658,31176,831826,23807375.0,Monday,False,3,2025,587981.0,703333.0,17236044.0,19946555.0,733118.0,726459.7142857143,21041445.0,20812128.714285713
2025-03-26,449665,448857,207,40,561,191193,20478,76,155934,42766,83068,30100,818154,23362175.0,Wednesday,False,3,2025,831826.0,799691.0,23807375.0,22817870.0,735755.5714285715,727532.5714285715,21119202.85714286,20841817.57142857
2025-03-29,270949,270298,472,55,124,209774,10861,288,186852,52338,101606,32908,679375,19630113.0,Saturday,True,3,2025,818154.0,802767.0,23362175.0,22916464.0,718128.1428571428,720116.8571428572,20649724.14285714,20648980.57142857
2025-03-30,96209,95682,428,30,69,172307,4444,72,129763,35130,69634,24999,403322,11851883.0,Sunday,True,3,2025,679375.0,798340.0,19630113.0,22793908.0,661697.0,711728.1428571428,19086577.714285713,20420515.785714287
2025-03-31,208196,207708,228,29,231,208738,9122,0,145793,40258,79349,26186,572337,16621942.0,Monday,False,3,2025,403322.0,812340.0,11851883.0,23282622.0,627410.8571428572,697969.4285714285,18135052.0,20047368.85714286
2025-04-14,305182,304535,204,81,362,207868,8220,140,158150,45305,84737,28108,680207,19610334.0,Monday,False,4,2025,572337.0,498881.0,16621942.0,14435832.0,653314.5714285715,692084.8571428572,18874266.57142857,19889574.0
2025-04-16,449829,449139,221,63,406,235448,11369,299,176334,50383,94435,31516,873969,24998753.0,Wednesday,False,4,2025,680207.0,587981.0,19610334.0,17236044.0,694170.0,704465.9285714285,19983225.0,20236562.14285714
2025-04-19,259717,258826,353,395,143,249636,6577,602,187817,50522,103686,33609,705240,20497929.0,Saturday,True,4,2025,873969.0,831826.0,24998753.0,23807375.0,676086.2857142857,704602.1428571428,19510447.0,20275946.0
2025-04-22,444043,443357,153,53,480,202346,11374,46,159998,45385,85269,29344,818493,23367391.0,Tuesday,False,4,2025,705240.0,818154.0,20497929.0,23362175.0,676134.7142857143,705945.1428571428,19511192.14285714,20315197.5
2025-04-23,437788,437111,143,50,484,200820,11194,153,156818,44241,83573,29004,807450,23055036.0,Wednesday,False,4,2025,818493.0,679375.0,23367391.0,19630113.0,694431.1428571428,706279.6428571428,20000466.85714286,20325095.5
2025-04-25,404681,404074,98,11,498,206176,10460,189,173609,48979,93442,31188,795722,22797867.0,Friday,False,4,2025,807450.0,403322.0,23055036.0,11851883.0,750488.2857142857,706092.6428571428,21564178.85714286,20325378.285714287
2025-04-26,247092,246628,363,21,80,234297,6643,507,192755,51997,106455,34303,681758,19751154.0,Saturday,True,4,2025,795722.0,572337.0,22797867.0,16621942.0,766119.8571428572,696765.3571428572,22011209.14285714,20073130.57142857
2025-04-27,142813,142327,420,15,51,229271,4352,236,172991,45558,97245,30188,550149,16109151.0,Sunday,True,4,2025,681758.0,680207.0,19751154.0,19610334.0,747540.1428571428,700427.3571428572,21511040.14285714,20192653.35714286
2025-04-28,431741,431275,209,76,181,209206,11125,450,166416,48128,89173,29115,819404,23357047.0,Monday,False,4,2025,550149.0,873969.0,16109151.0,24998753.0,739745.1428571428,716957.5714285715,21276510.714285713,20629867.85714286
2025-04-29,440446,439922,276,55,193,212405,11539,145,177165,51117,94671,31377,842224,24017882.0,Tuesday,False,4,2025,819404.0,705240.0,23357047.0,20497929.0,759314.2857142857,717700.2857142857,21779361.14285714,20644904.07142857
2025-04-30,343578,343235,98,53,192,222973,9302,100,181382,51720,97821,31841,757678,21764376.0,Wednesday,False,4,2025,842224.0,818493.0,24017882.0,23367391.0,750626.4285714285,713380.5714285715,21550359.0,20530775.57142857
2025-05-13,431233,430364,342,38,489,202347,12006,390,157565,44651,85146,27768,804410,22990771.0,Tuesday,False,5,2025,757678.0,807450.0,21764376.0,23055036.0,750192.1428571428,722311.6428571428,21541178.285714287,20770822.57142857
2025-05-14,432306,431466,285,36,519,213511,12077,64,162183,45920,86997,29266,820981,23490162.0,Wednesday,False,5,2025,804410.0,795722.0,22990771.0,22797867.0,753800.5714285715,752144.4285714285,21640077.57142857,21602128.214285713
2025-05-15,426600,425836,191,69,504,210155,11853,472,159078,45693,84693,28692,808922,23143310.0,Thursday,False,5,2025,820981.0,681758.0,23490162.0,19751154.0,771966.8571428572,769043.3571428572,22124671.285714287,22067940.214285713
2025-05-16,399971,399156,245,45,525,208262,11227,172,174534,49136,95129,30269,794981,22808717.0,Friday,False,5,2025,808922.0,550149.0,23143310.0,16109151.0,806942.8571428572,777241.5,23081752.14285714,22296396.14285714
2025-05-17,340258,339737,396,44,81,223418,8007,307,126470,1460,38654,58161,698981,19993846.0,Saturday,True,5,2025,794981.0,819404.0,22808717.0,23357047.0,789739.5714285715,764742.3571428572,22601294.85714286,21938902.785714287
2025-05-18,139090,138475,536,11,68,257039,4592,269,184870,49246,103806,31818,586475,17218650.0,Sunday,True,5,2025,698981.0,842224.0,19993846.0,24017882.0,753204.0,756259.1428571428,21629976.0,21704668.57142857
2025-05-20,377019,376400,96,45,478,197688,10839,126,152665,42851,82251,27563,738956,21178173.0,Tuesday,False,5,2025,586475.0,757678.0,17218650.0,21764376.0,750529.4285714285,750577.9285714285,21546232.714285713,21548295.85714286
2025-05-21,417832,417113,191,26,502,207409,11903,619,159335,44268,86492,28575,797817,22828614.0,Wednesday,False,5,2025,738956.0,804410.0,21178173.0,22990771.0,749587.5714285715,749889.8571428572,21523067.42857143,21532122.85714286
2025-05-23,401689,400896,183,51,559,213442,11402,274,176092,49200,95666,31226,803692,23072613.0,Friday,False,5,2025,797817.0,820981.0,22828614.0,23490162.0,747117.7142857143,750459.1428571428,21463417.57142857,21551747.57142857
2025-05-28,443766,443058,189,40,479,202328,13273,426,165899,46053,89904,29942,826400,23604392.0,Wednesday,False,5,2025,803692.0,808922.0,23072613.0,23143310.0,749614.5714285715,760790.7142857143,21529286.42857143,21826978.85714286
2025-05-29,433462,432742,186,58,476,196904,12920,98,162161,45319,87729,29113,806265,23033384.0,Thursday,False,5,2025,826400.0,794981.0,23604392.0,22808717.0,751226.5714285715,779084.7142857143,21561381.714285713,22321566.92857143
2025-05-31,299386,298757,509,33,87,249033,9040,0,223387,59490,124571,39326,781475,22595552.0,Saturday,True,5,2025,806265.0,698981.0,23033384.0,19993846.0,763011.4285714285,776375.5,21933054.0,22267174.42857143
2025-06-15,143450,142906,493,10,41,244583,6030,268,181991,46655,102749,32587,576866,16908120.0,Sunday,True,6,2025,781475.0,586475.0,22595552.0,17218650.0,761638.7142857143,757421.3571428572,21888692.57142857,21759334.285714287
2025-06-16,450870,450092,229,23,526,213561,16839,175,173436,48797,93822,30817,855659,24472250.0,Monday,False,6,2025,576866.0,738956.0,16908120.0,21178173.0,778310.5714285715,764420.0,22359275.0,21952753.85714286
2025-06-17,472822,472155,104,29,534,195702,17752,156,164383,45257,89169,29957,851482,24279264.0,Tuesday,False,6,2025,855659.0,797817.0,24472250.0,22828614.0,785977.0,767782.2857142857,22566510.714285713,22044789.07142857
2025-06-18,475295,474597,132,21,545,203768,18298,203,168228,46447,91337,30444,866490,24724815.0,Wednesday,False,6,2025,851482.0,803692.0,24279264.0,23072613.0,794948.1428571428,771032.9285714285,22802539.57142857,22132978.57142857
2025-06-19,464133,463206,330,31,566,197308,18082,69,167834,46299,90712,30823,848353,24229481.0,Thursday,False,6,2025,866490.0,826400.0,24724815.0,23604392.0,798084.2857142857,773849.4285714285,22891838.0,22210562.214285713
2025-06-20,439841,439102,121,30,588,204581,17379,187,182242,50062,100239,31941,844969,24198247.0,Friday,False,6,2025,848353.0,806265.0,24229481.0,23033384.0,803613.4285714285,777420.0,23058247.0,22309814.35714286
2025-06-21,304064,303665,307,19,73,247722,12578,304,212683,55688,119298,37697,777750,22455528.0,Saturday,True,6,2025,844969.0,781475.0,24198247.0,22595552.0,803081.2857142857,783046.3571428572,23038243.57142857,22485648.785714287
2025-06-22,146425,146152,205,27,41,243551,6729,78,179160,46453,100746,31961,576216,16871065.0,Sunday,True,6,2025,777750.0,576866.0,22455528.0,16908120.0,802988.4285714285,782313.5714285715,23032950.0,22460821.285714287
2025-06-23,453978,453278,161,19,520,210663,18590,229,173691,49560,93357,30774,857851,24523666.0,Monday,False,6,2025,576216.0,855659.0,16871065.0,24472250.0,803301.5714285715,790806.0714285715,23040295.14285714,22699785.07142857
2025-06-24,471380,470702,88,27,563,193622,19533,108,163137,45294,87334,30509,848458,24199720.0,Tuesday,False,6,2025,857851.0,851482.0,24523666.0,24279264.0,802869.5714285715,794423.2857142857,23028931.714285713,22797721.214285713
2025-06-25,471678,470936,133,29,580,189836,19740,114,163668,45470,87754,30444,845778,24125156.0,Wednesday,False,6,2025,848458.0,866490.0,24199720.0,24724815.0,799910.7142857143,797429.4285714285,22943266.14285714,22872902.85714286
2025-06-26,464601,463871,109,41,580,197435,19618,270,166788,46605,89894,30289,849442,24257387.0,Thursday,False,6,2025,845778.0,848353.0,24125156.0,24229481.0,800066.2857142857,799075.2857142857,22947252.714285713,22919545.35714286
2025-06-27,440707,439926,195,34,552,213398,18797,372,187698,51499,102747,33452,861753,24693089.0,Friday,False,6,2025,849442.0,844969.0,24257387.0,24198247.0,802464.0,803038.7142857143,23017944.42857143,23038095.714285713
2025-06-28,273484,272930,440,27,87,243726,12278,144,210966,55271,118013,37682,741152,21459788.0,Saturday,True,6,2025,861753.0,777750.0,24693089.0,22455528.0,797235.7142857143,800158.5,22875695.85714286,22956969.714285713
2025-06-29,148958,148520,377,10,51,244896,6159,127,185396,48161,105009,32226,585974,17162896.0,Sunday,True,6,2025,741152.0,576216.0,21459788.0,16871065.0,798629.7142857143,800809.0714285715,22917386.0,22975168.0
2025-07-13,145209,144638,516,10,45,249907,7977,296,191349,51023,107563,32763,595309,17458133.0,Sunday,True,7,2025,585974.0,857851.0,17162896.0,24523666.0,761123.7142857143,782212.6428571428,21908024.14285714,22474159.64285714
2025-07-14,435572,434862,188,11,511,205689,21993,0,168996,48382,91420,29194,832960,23829444.0,Monday,False,7,2025,595309.0,848458.0,17458133.0,24199720.0,758909.7142857143,780889.6428571428,21855127.57142857,22442029.64285714
2025-07-15,458422,457702,152,22,546,186107,23478,0,157914,44017,85503,28394,826641,23581204.0,Tuesday,False,7,2025,832960.0,845778.0,23829444.0,24125156.0,756175.8571428572,778043.2857142857,21777420.14285714,22360343.14285714
2025-07-16,456504,455761,172,32,539,190503,23626,499,161315,45023,87628,28664,833190,23784038.0,Wednesday,False,7,2025,826641.0,849442.0,23581204.0,24257387.0,753854.1428571428,776960.2142857143,21709798.85714286,22328525.785714287
