Record Date,smart,Stored Value Card,pass1,pass3,pass5,tokens,ncmc,group,qr,QR NammaMetro,QR WhatsApp,QR Paytm,Total_Flow,Total_Revenue
2025-01-20,457053,456384,373,58,238,207098,15223,79,200083,55651,107521,36911,880205,25124031.0
2025-01-21,476646,475968,362,46,270,189181,16183,169,187190,51655,100268,35267,870047,24766672.0
2025-01-22,479982,478881,604,89,408,195307,13929,418,190297,52460,101538,36299,881034,25140524.0
2025-01-23,470084,468631,632,264,557,200080,16166,806,193153,53170,103718,36265,881742,25262558.0
2025-01-24,452373,450489,678,551,655,217495,15630,838,216140,60168,116848,39124,904360,26071321.0
2025-01-25,305829,302921,1762,639,507,259179,10549,775,261829,67670,146837,47322,841069,24630583.0
2025-01-26,178237,175890,1390,456,501,277498,6386,772,239003,61570,134347,43086,704243,20860969.0
2025-01-27,465566,463801,775,453,537,215569,16161,681,211545,59138,114153,38254,911287,26194912.0
2025-01-28,473889,472405,698,362,424,199984,16643,646,199949,54935,107790,37224,892595,25560123.0
2025-01-29,468183,467114,508,236,325,191069,16591,456,193088,52560,104565,35963,870456,24857321.0
2025-01-30,455707,455021,350,107,229,191047,16105,800,185863,54138,95216,36509,850208,24233139.0
2025-01-31,429639,428712,553,134,240,200321,15065,265,206739,57305,111795,37639,852956,24409463.0
2025-02-13,406654,405914,274,94,372,179196,17176,62,148163,40588,78334,29241,751991,21467148.0
2025-02-14,381182,380410,293,66,413,187060,16023,130,178855,48653,95356,34846,764022,21911564.0
2025-02-15,274277,273676,416,61,124,214805,11052,487,190218,50305,105001,34912,691440,19980859.0
2025-02-17,410935,410315,182,29,409,185485,17494,369,165679,46959,87843,30877,780582,22307295.0
2025-02-18,420869,420146,237,15,471,173720,18587,255,154323,42699,82043,29581,768477,21930903.0
2025-02-19,423244,422496,251,31,466,173529,19035,264,153112,42530,81328,29254,769932,21969358.0
2025-02-20,410223,409549,166,32,476,177235,18498,422,149822,41185,79188,29449,756874,21616151.0
2025-02-21,399905,399144,199,58,504,191533,17821,423,180270,49952,95757,34561,790713,22675575.0
2025-02-22,246807,246066,522,85,134,224326,11027,706,192617,50944,105215,36458,676224,19617809.0
2025-02-24,419033,418410,230,57,336,190998,18984,433,173063,48770,91889,32404,803134,22946531.0
2025-02-25,418523,418095,107,14,307,177694,19454,622,166474,47075,87248,32151,783195,22329831.0
2025-02-26,216490,216010,222,16,242,160400,10486,388,132520,37795,69769,24956,520764,15050390.0
2025-02-27,401617,401092,149,54,322,178083,18079,1625,165030,46014,87919,31097,764959,21845999.0
2025-02-28,387796,387187,237,48,324,180287,17888,282,175729,48817,93919,32993,762591,21819462.0
2025-03-14,345797,345045,185,12,555,176068,18470,228,159319,44401,85900,29018,700634,20140919.0
2025-03-15,402055,401484,428,30,113,100903,5921,115,193768,50686,107233,35849,703333,19946555.0
2025-03-18,444790,444004,217,8,561,176154,23611,447,153903,43047,81953,28903,799691,22817870.0
2025-03-19,443772,442956,235,15,566,179666,22738,451,155324,43185,82674,29465,802767,22916464.0
2025-03-20,437064,436346,162,17,539,182280,22381,611,155286,43853,82033,29400,798340,22793908.0
2025-03-21,417546,416788,150,51,557,196933,20047,268,176788,48884,95291,32613,812340,23282622.0
2025-03-22,194576,194189,202,49,136,167027,9513,517,126861,34690,69332,22839,498881,14435832.0
2025-03-23,153272,152653,460,49,110,235555,7378,81,191076,52235,105379,33462,587981,17236044.0
2025-03-24,437365,436622,144,28,571,203814,20474,166,169264,47430,90658,31176,831826,23807375.0
2025-03-26,449665,448857,207,40,561,191193,20478,76,155934,42766,83068,30100,818154,23362175.0
2025-03-29,270949,270298,472,55,124,209774,10861,288,186852,52338,101606,32908,679375,19630113.0
2025-03-30,96209,95682,428,30,69,172307,4444,72,129763,35130,69634,24999,403322,11851883.0
2025-03-31,208196,207708,228,29,231,208738,9122,0,145793,40258,79349,26186,572337,16621942.0
2025-04-14,305182,304535,204,81,362,207868,8220,140,158150,45305,84737,28108,680207,19610334.0
2025-04-16,449829,449139,221,63,406,235448,11369,299,176334,50383,94435,31516,873969,24998753.0
2025-04-19,259717,258826,353,395,143,249636,6577,602,187817,50522,103686,33609,705240,20497929.0
2025-04-22,444043,443357,153,53,480,202346,11374,46,159998,45385,85269,29344,818493,23367391.0
2025-04-23,437788,437111,143,50,484,200820,11194,153,156818,44241,83573,29004,807450,23055036.0
2025-04-25,404681,404074,98,11,498,206176,10460,189,173609,48979,93442,31188,795722,22797867.0
2025-04-26,247092,246628,363,21,80,234297,6643,507,192755,51997,106455,34303,681758,19751154.0
2025-04-27,142813,142327,420,15,51,229271,4352,236,172991,45558,97245,30188,550149,16109151.0
2025-04-28,431741,431275,209,76,181,209206,11125,450,166416,48128,89173,29115,819404,23357047.0
2025-04-29,440446,439922,276,55,193,212405,11539,145,177165,51117,94671,31377,842224,24017882.0
2025-04-30,343578,343235,98,53,192,222973,9302,100,181382,51720,97821,31841,757678,21764376.0
2025-05-13,431233,430364,342,38,489,202347,12006,390,157565,44651,85146,27768,804410,22990771.0
2025-05-14,432306,431466,285,36,519,213511,12077,64,162183,45920,86997,29266,820981,23490162.0
2025-05-15,426600,425836,191,69,504,210155,11853,472,159078,45693,84693,28692,808922,23143310.0
2025-05-16,399971,399156,245,45,525,208262,11227,172,174534,49136,95129,30269,794981,22808717.0
2025-05-17,340258,339737,396,44,81,223418,8007,307,126470,1460,38654,58161,698981,19993846.0
2025-05-18,139090,138475,536,11,68,257039,4592,269,184870,49246,103806,31818,586475,17218650.0
2025-05-20,377019,376400,96,45,478,197688,10839,126,152665,42851,82251,27563,738956,21178173.0
2025-05-21,417832,417113,191,26,502,207409,11903,619,159335,44268,86492,28575,797817,22828614.0
2025-05-23,401689,400896,183,51,559,213442,11402,274,176092,49200,95666,31226,803692,23072613.0
2025-05-28,443766,443058,189,40,479,202328,13273,426,165899,46053,89904,29942,826400,23604392.0
2025-05-29,433462,432742,186,58,476,196904,12920,98,162161,45319,87729,29113,806265,23033384.0
2025-05-31,299386,298757,509,33,87,249033,9040,0,223387,59490,124571,39326,781475,22595552.0
2025-06-15,143450,142906,493,10,41,244583,6030,268,181991,46655,102749,32587,576866,16908120.0
2025-06-16,450870,450092,229,23,526,213561,16839,175,173436,48797,93822,30817,855659,24472250.0
2025-06-17,472822,472155,104,29,534,195702,17752,156,164383,45257,89169,29957,851482,24279264.0
2025-06-18,475295,474597,132,21,545,203768,18298,203,168228,46447,91337,30444,866490,24724815.0
2025-06-19,464133,463206,330,31,566,197308,18082,69,167834,46299,90712,30823,848353,24229481.0
2025-06-20,439841,439102,121,30,588,204581,17379,187,182242,50062,100239,31941,844969,24198247.0
2025-06-21,304064,303665,307,19,73,247722,12578,304,212683,55688,119298,37697,777750,22455528.0
2025-06-22,146425,146152,205,27,41,243551,6729,78,179160,46453,100746,31961,576216,16871065.0
2025-06-23,453978,453278,161,19,520,210663,18590,229,173691,49560,93357,30774,857851,24523666.0
2025-06-24,471380,470702,88,27,563,193622,19533,108,163137,45294,87334,30509,848458,24199720.0
2025-06-25,471678,470936,133,29,580,189836,19740,114,163668,45470,87754,30444,845778,24125156.0
2025-06-26,464601,463871,109,41,580,197435,19618,270,166788,46605,89894,30289,849442,24257387.0
2025-06-27,440707,439926,195,34,552,213398,18797,372,187698,51499,102747,33452,861753,24693089.0
2025-06-28,273484,272930,440,27,87,243726,12278,144,210966,55271,118013,37682,741152,21459788.0
2025-06-29,148958,148520,377,10,51,244896,6159,127,185396,48161,105009,32226,585974,17162896.0
2025-07-13,145209,144638,516,10,45,249907,7977,296,191349,51023,107563,32763,595309,17458133.0
2025-07-14,435572,434862,188,11,511,205689,21993,0,168996,48382,91420,29194,832960,23829444.0
2025-07-15,458422,457702,152,22,546,186107,23478,0,157914,44017,85503,28394,826641,23581204.0
2025-07-16,456504,455761,172,32,539,190503,23626,499,161315,45023,87628,28664,833190,23784038.0
2025-07-17,447487,446768,147,45,527,188748,23503,475,158926,44234,85932,28760,819858,23409099.0
2025-07-18,428303,427485,232,23,563,198721,22699,467,179181,49001,98752,31428,830189,23785961.0
2025-07-19,295263,294844,267,46,106,241119,15513,298,206337,54289,116338,35710,758949,21929801.0
2025-07-20,145952,145511,367,11,63,259037,8391,178,163996,52741,75864,35391,577995,16935554.0
2025-07-21,443588,442772,192,17,607,209448,24038,31,170834,50365,90918,29551,848755,24306346.0
2025-07-23,460352,459465,235,26,626,192654,25517,400,163634,45043,88410,30181,843444,24105104.0
2025-07-25,431944,431098,173,24,649,198314,24110,134,181372,49643,100212,31517,836720,23991998.0
2025-07-26,259225,258549,540,43,93,237427,15350,63,201596,51290,114879,35427,714337,20706455.0
2025-07-27,142277,141848,351,29,49,236103,8686,114,183298,47978,101916,33404,570907,16732579.0
2025-07-28,441960,441266,186,15,493,201829,25028,111,168140,48159,91148,28833,837762,23950080.0
2025-07-29,449016,448279,170,15,552,185829,25984,115,157305,43984,82861,30460,818986,23380922.0
2025-07-30,463794,463050,136,42,566,191572,26733,146,162129,46051,87503,28575,845118,24127558.0
2025-07-31,446292,445606,120,21,545,193876,25988,227,166603,47074,89743,29786,833672,23826804.0
2025-08-14,488569,487951,238,40,340,293707,33052,322,268138,79459,138617,50062,1084406,31174593.0
2025-08-15,194028,191790,1930,112,196,386683,14440,396,141701,9822,51298,83062,739486,21751656.0
2025-08-16,271190,269972,1019,93,106,334983,19134,133,134626,845,45456,74903,761284,22110140.0
2025-08-18,485345,484280,385,5,675,270054,34029,532,228711,68969,118099,41643,1019736,29334545.0
2025-08-19,508149,507164,260,30,695,238907,36710,1210,201681,60409,103131,38141,987642,28307963.0
2025-08-20,511617,510543,324,59,691,242909,37695,915,201593,60963,102602,38028,995803,28548799.0
2025-08-21,500808,499757,275,73,703,239249,37702,749,198728,59690,101922,37116,978287,28059406.0
2025-08-27,108463,107959,354,33,117,194918,10687,87,124085,37596,63409,23080,438744,12888291.0
2025-08-28,429091,428637,174,37,243,220353,34687,64,170776,54079,85957,30740,855425,24454337.0
2025-08-30,314544,314054,363,42,85,261367,25621,128,210758,61663,113698,35397,812908,23488218.0
2025-08-31,154229,153733,419,11,66,261400,14325,179,199312,57246,106996,35070,629941,18471993.0
2025-09-14,164736,164213,36,53,434,301104,17518,300,4565,73490,130358,39682,488746,14295802.0
2025-09-15,495383,494310,250,28,795,248072,50094,270,3564,66656,109305,35024,798456,22696941.0
2025-09-16,513311,512194,163,41,913,231505,52807,68,3654,62300,104737,31983,802462,22793927.0
2025-09-17,520110,518837,275,114,884,245848,54350,131,3145,64261,105123,34039,824857,23454440.0
2025-09-18,515821,514598,259,93,871,245248,53686,377,4055,66086,108877,34195,820410,23326177.0
2025-09-19,505343,504011,276,125,931,238803,51572,482,4686,71231,121698,38432,802218,22834171.0
2025-09-20,335267,334705,349,57,156,302911,35080,551,6041,80535,142449,43943,680412,19472329.0
2025-09-21,148560,147916,531,50,63,265890,17109,90,4964,64622,112073,34646,437257,12718780.0
2025-09-22,486764,485817,111,19,817,251956,52476,368,3812,64866,108832,32614,796323,22657658.0
2025-09-23,504953,503805,254,21,873,235533,55259,0,3769,59991,99533,31262,800662,22754441.0
2025-09-24,499426,498291,206,52,877,245019,55609,73,3987,63126,104951,32196,805249,22913062.0
2025-09-26,473797,472333,239,300,925,338236,53621,274,8171,81808,9711,45438,875563,25155809.0
2025-09-27,296386,295419,567,219,181,398368,34497,788,11235,100060,8332,54617,742241,21486852.0
2025-09-28,160601,159739,526,270,66,341619,19662,956,8092,79077,40416,41872,531792,15556717.0
2025-10-13,495308,494122,268,30,888,259305,65364,242,102924,70109,34780,5545,924329,26499526.0
2025-10-14,515751,514500,321,23,907,248317,69224,175,98627,68010,34284,5559,933345,26714737.0
2025-10-15,516318,515145,191,31,951,252511,66598,440,103723,70345,35694,5828,940763,26943616.0
2025-10-16,502738,501653,131,36,918,261137,67733,211,88791,74245,35945,6527,921695,26401856.0
2025-10-17,472241,471039,195,27,980,307945,64768,320,70893,88071,45445,9035,917369,26381337.0
2025-10-19,130430,129832,548,3,47,276262,18288,352,82997,53807,26027,4898,508927,14911640.0
2025-10-20,119537,119087,379,64,7,209561,17204,716,53610,37657,18487,3469,401078,11701659.0
2025-10-21,201934,201541,229,25,139,214311,27202,261,58085,40889,20350,3535,502186,14510718.0
2025-10-22,205134,204784,155,39,156,210873,29708,540,68357,47323,22571,4168,514962,14888408.0
2025-10-24,415427,415068,143,43,173,230820,58691,714,85634,60664,27928,5030,791645,22562809.0
2025-10-26,152669,152249,309,38,73,274102,22199,302,102489,65253,30240,6102,552181,16145953.0
2025-10-27,473145,472215,111,34,785,241464,67936,457,96497,68110,31202,5562,880429,25215605.0
2025-10-29,491007,489957,205,62,783,226476,72190,469,90599,63155,29841,5309,881791,25210859.0
2025-10-30,466852,465904,153,40,755,220685,70237,553,89797,63097,29472,5472,849072,24288374.0
2025-11-13,487571,486410,146,56,959,227658,80266,868,96334,66660,32391,6544,893858,25627317.0
2025-11-14,450200,449069,156,34,941,243910,71377,746,108040,72295,34752,7438,875404,25177610.0
2025-11-16,158107,157596,418,24,69,293396,26440,543,121621,74924,36441,8191,600618,17583649.0
2025-11-19,504172,502968,193,95,916,239749,76152,643,101678,67220,32647,9718,923598,26466614.0
2025-11-20,484379,483152,231,87,909,234887,71935,911,101354,69436,33219,9662,894693,25657113.0
2025-11-21,453547,452400,173,39,935,241831,68258,445,104456,73276,35499,7573,869684,24995879.0
2025-11-24,459381,458432,123,40,786,237441,71006,479,93425,66185,30717,6897,862681,24726227.0
2025-11-25,478111,477035,197,46,833,220783,75002,462,92290,63358,30238,6880,867724,24837997.0
2025-11-26,479156,478071,185,85,815,226455,74753,545,94144,63196,31059,7029,876138,25088572.0
2025-11-27,456604,455545,190,56,813,226024,71461,1275,96014,64332,30585,6660,852437,24439928.0
2025-11-28,438437,437241,300,44,852,235686,69540,1073,106702,71678,34447,7663,852634,24513229.0
